RollNumber,DOB - Year (group),EntryGrade (group),Major (group),DistanceToHanoi,EnglishAverageGrade
00342,1989.0,79.0,1.0,0.0,6.7
00343,1986.0,64.0,1.0,145.0,7.8
00344,1989.0,75.0,1.0,0.0,5.2
00345,1989.0,64.0,1.0,125.0,5.97
00346,1989.0,65.0,1.0,49.0,6.0
00347,1987.0,78.0,1.0,0.0,7.57
00348,1988.0,91.0,1.0,0.0,7.87
00349,1989.0,64.0,1.0,0.0,6.23
00350,1984.0,64.0,1.0,122.0,3.612328767
00351,1980.0,71.0,1.0,49.0,5.8
00353,1989.0,70.0,1.0,0.0,6.1
00354,1989.0,80.0,1.0,0.0,7.03
00356,1988.0,74.0,1.0,49.0,2.7
00357,1989.0,91.0,1.0,0.0,6.2
00358,1989.0,83.0,1.0,0.0,6.77
00359,1989.0,100.0,1.0,125.0,6.97
00360,1987.0,66.0,1.0,145.0,6.2
00361,1989.0,74.0,1.0,93.0,6.03
00362,1989.0,70.0,1.0,1416.0,6.23
00363,1989.0,66.0,1.0,0.0,5.97
00364,1989.0,80.0,1.0,92.0,5.35
00365,1989.0,73.0,1.0,378.0,6.53
00366,1989.0,95.0,1.0,55.0,7.17
00367,1987.0,73.0,1.0,80.0,6.1
00368,1989.0,77.0,1.0,0.0,5.67
00369,1989.0,69.0,1.0,111.0,4.35
00370,1989.0,68.0,1.0,0.0,5.7
00371,1989.0,91.0,1.0,0.0,8.13
00372,1989.0,75.0,1.0,0.0,6.8
00373,1989.0,82.0,1.0,0.0,6.83
00374,1988.0,63.0,1.0,33.0,2.17804878
00375,1989.0,77.0,1.0,0.0,7.23
00376,1989.0,64.0,1.0,49.0,6.23
00377,1989.0,78.0,1.0,0.0,7.63
00379,1989.0,73.0,1.0,0.0,7.2
00380,1989.0,73.0,1.0,145.0,5.9
00381,1985.0,76.0,1.0,0.0,5.847826087
00382,1989.0,67.0,1.0,117.0,5.57
00383,1989.0,66.0,1.0,70.0,2.423255814
00384,1988.0,61.0,1.0,41.0,5.93
00385,1989.0,85.0,1.0,49.0,6.5
00386,1989.0,72.0,1.0,117.0,2.550847458
00387,1989.0,64.0,1.0,117.0,6.13
00388,1989.0,69.0,1.0,0.0,7.27
00389,1989.0,70.0,1.0,125.0,3.346511628
00390,1989.0,68.0,1.0,125.0,6.07
00391,1989.0,80.0,1.0,0.0,7.5
00392,1989.0,76.0,1.0,0.0,7.0
00393,1987.0,75.0,1.0,0.0,3.732183908
00394,1989.0,59.0,1.0,0.0,8.17
00395,1988.0,65.0,1.0,0.0,5.3
00396,1989.0,69.0,1.0,198.0,6.2
00397,1989.0,100.0,1.0,65.0,7.73
00398,1989.0,64.0,1.0,117.0,5.47
00399,1989.0,90.0,1.0,55.0,7.43
00400,1989.0,78.0,1.0,117.0,5.9
00403,1989.0,91.0,1.0,125.0,6.6
00404,1989.0,60.0,1.0,0.0,6.9
00405,1987.0,63.0,1.0,295.0,3.686956522
00406,1989.0,58.0,1.0,178.0,3.573333333
00407,1989.0,65.0,1.0,1416.0,7.3
00408,1989.0,64.0,1.0,0.0,5.37
00409,1989.0,70.0,1.0,41.0,4.6
00410,1989.0,67.0,1.0,0.0,5.97
00411,1989.0,65.0,1.0,0.0,2.651181102
00412,1989.0,64.0,1.0,153.0,5.2
00415,1988.0,63.0,1.0,125.0,5.67
00416,1989.0,64.0,1.0,103.0,5.67
00417,1988.0,59.0,1.0,65.0,4.750877193
00418,1989.0,80.0,1.0,109.0,6.23
00419,1989.0,74.0,1.0,80.0,5.57
00420,1988.0,85.0,1.0,0.0,8.23
00421,1989.0,73.0,1.0,0.0,7.0
00422,1989.0,63.0,1.0,0.0,6.63
00423,1989.0,74.0,1.0,65.0,5.77
00425,1989.0,75.0,1.0,117.0,6.47
00426,1989.0,69.0,1.0,0.0,6.9
00427,1989.0,65.0,1.0,0.0,5.4
00428,1989.0,70.0,1.0,52.0,4.666666667
00429,1989.0,79.0,1.0,0.0,6.87
00430,1989.0,63.0,1.0,117.0,5.7
00431,1989.0,67.0,1.0,316.0,6.6
00432,1988.0,69.0,1.0,0.0,6.1
00433,1989.0,76.0,1.0,0.0,6.03
00434,1989.0,89.0,1.0,0.0,7.5
00435,1989.0,70.0,1.0,145.0,6.13
00436,1989.0,70.0,1.0,117.0,6.47
00437,1989.0,77.0,1.0,109.0,5.540909091
00438,1989.0,63.0,1.0,33.0,1.634117647
00439,1989.0,71.0,1.0,92.0,6.2
00440,1989.0,77.0,1.0,198.0,6.77
00441,1989.0,68.0,1.0,145.0,6.7
00442,1989.0,66.0,1.0,65.0,6.83
00443,1988.0,74.0,1.0,52.0,6.513793103
00444,1989.0,64.0,1.0,117.0,3.971929825
00445,1989.0,73.0,1.0,111.0,5.6
00446,1989.0,71.0,1.0,93.0,6.03
00447,1988.0,71.0,1.0,41.0,7.9
00448,1989.0,78.0,1.0,41.0,6.0
00449,1989.0,70.0,1.0,55.0,5.0
00450,1989.0,98.0,1.0,316.0,6.0
00451,1989.0,76.0,1.0,295.0,6.9
00452,1989.0,60.0,1.0,103.0,5.9
00453,1989.0,67.0,1.0,198.0,5.6
00454,1989.0,64.0,1.0,117.0,5.47
00455,1989.0,80.0,1.0,0.0,7.57
00456,1989.0,88.0,1.0,93.0,7.0
00457,1989.0,72.0,1.0,0.0,7.27
00458,1989.0,72.0,1.0,0.0,6.75
00459,1987.0,100.0,1.0,122.0,7.67
00460,1989.0,63.0,1.0,0.0,5.8
00461,1989.0,91.0,1.0,0.0,7.4
00462,1989.0,,1.0,402.0,4.268292683
00463,1989.0,70.0,1.0,55.0,2.8
00464,1989.0,66.0,1.0,122.0,6.67
00465,1989.0,63.0,1.0,41.0,7.07
00466,1989.0,74.0,1.0,87.0,4.343859649
00467,1989.0,63.0,1.0,0.0,5.53
00468,1989.0,69.0,1.0,145.0,5.47
00469,1989.0,72.0,1.0,0.0,6.03
00470,1989.0,71.0,1.0,0.0,5.43
00471,1989.0,78.0,1.0,0.0,6.07
00472,1990.0,68.0,1.0,26.0,7.0
00473,1989.0,79.0,1.0,0.0,6.7
00474,1989.0,63.0,1.0,0.0,6.37
00475,1989.0,65.0,1.0,198.0,6.97
00476,1989.0,63.0,1.0,117.0,5.87
00477,1989.0,71.0,1.0,0.0,7.13
00478,1989.0,67.0,1.0,49.0,4.039726027
00479,1989.0,72.0,1.0,145.0,5.9
00480,1989.0,64.0,1.0,93.0,6.13
00481,1989.0,95.0,1.0,178.0,7.1
00485,1987.0,67.0,1.0,0.0,5.57
00486,1990.0,65.0,1.0,0.0,6.03
00487,1989.0,63.0,1.0,41.0,8.4
00488,1990.0,73.0,1.0,0.0,6.6
00491,1987.0,100.0,1.0,501.0,6.73
00493,1989.0,70.0,1.0,1121.0,8.07
00494,1988.0,72.0,1.0,218.0,0.5
00495,1989.0,88.0,1.0,178.0,7.63
00497,1989.0,74.0,1.0,316.0,5.23
00498,1990.0,69.0,1.0,117.0,5.57
00499,1989.0,63.0,1.0,145.0,5.97
00500,1989.0,58.0,1.0,0.0,6.33
00501,1990.0,66.0,1.0,0.0,5.37
00502,1988.0,69.0,1.0,0.0,3.386206897
00503,1989.0,79.0,1.0,109.0,5.63
00504,1988.0,79.0,1.0,218.0,4.0
00505,1989.0,63.0,1.0,316.0,5.73
00506,1989.0,63.0,1.0,288.0,5.93
00507,1989.0,69.0,1.0,93.0,6.37
00508,1989.0,74.0,1.0,0.0,7.93
00509,1989.0,93.0,1.0,0.0,8.43
00510,1989.0,67.0,1.0,198.0,6.43
00511,1989.0,80.0,1.0,0.0,6.43
00512,1988.0,73.0,1.0,0.0,5.7
00513,1989.0,73.0,1.0,0.0,7.53
00515,1989.0,74.0,1.0,0.0,5.63
00516,1989.0,100.0,1.0,82.0,7.37
00517,1989.0,93.0,1.0,0.0,7.57
00518,1990.0,68.0,1.0,0.0,7.5
00519,1989.0,63.0,1.0,82.0,5.4
00520,1989.0,79.0,1.0,378.0,8.07
00521,1989.0,70.0,1.0,0.0,6.9
00522,1989.0,76.0,1.0,80.0,6.13
00524,1989.0,64.0,1.0,218.0,3.466666667
00525,1990.0,67.0,1.0,82.0,5.9
00526,1989.0,71.0,1.0,0.0,6.63
00528,1989.0,73.0,1.0,316.0,5.8
00529,1989.0,69.0,1.0,0.0,7.7
00530,1989.0,65.0,1.0,80.0,6.0
00532,1989.0,70.0,1.0,41.0,5.37
00533,1989.0,79.0,1.0,80.0,6.53
00534,1989.0,69.0,1.0,145.0,6.03
00535,1989.0,76.0,1.0,0.0,7.33
00536,1989.0,76.0,1.0,109.0,5.8
00537,1989.0,100.0,1.0,916.0,6.77
00538,1989.0,74.0,1.0,109.0,6.23
00539,1989.0,77.0,1.0,0.0,6.5
00541,1989.0,63.0,1.0,80.0,6.33
00542,1989.0,78.0,1.0,0.0,8.07
00544,1989.0,81.0,1.0,41.0,8.3
00546,1988.0,69.0,1.0,125.0,5.43
00548,1989.0,68.0,1.0,0.0,5.77
00549,1989.0,65.0,1.0,117.0,5.73
00550,1989.0,63.0,1.0,0.0,6.6
00551,1989.0,84.0,1.0,0.0,6.97
00552,1989.0,66.0,1.0,49.0,4.35
00553,1989.0,70.0,1.0,145.0,5.67
00554,1989.0,73.0,1.0,153.0,5.3
00555,1990.0,67.0,1.0,0.0,5.83
00556,1989.0,100.0,1.0,1071.0,7.27
00557,1989.0,72.0,1.0,103.0,6.97
00558,1989.0,70.0,1.0,111.0,5.0
00559,1989.0,65.0,1.0,1416.0,6.57
00560,1989.0,70.0,1.0,145.0,5.3
00561,1984.0,42.0,1.0,0.0,6.17
00562,1988.0,82.0,1.0,767.0,6.77
00563,1989.0,85.0,1.0,848.0,6.0
00564,1989.0,79.0,1.0,1121.0,7.07
00565,1989.0,67.0,1.0,767.0,7.2
00567,1989.0,100.0,1.0,848.0,6.53
00568,1989.0,71.0,1.0,0.0,6.93
00569,1989.0,68.0,1.0,145.0,5.6
00572,1989.0,68.0,1.0,848.0,6.57
00573,1988.0,72.0,1.0,1529.0,7.07
00574,1989.0,67.0,1.0,1529.0,6.77
00575,1989.0,72.0,1.0,1529.0,8.2
00577,1989.0,62.0,1.0,1529.0,6.77
00583,1989.0,72.0,1.0,80.0,5.93
00584,1989.0,58.0,1.0,7667.0,6.27
00585,1989.0,59.0,1.0,0.0,5.7
00586,1989.0,59.0,1.0,0.0,2.710843373
00587,1987.0,62.0,1.0,0.0,3.5
00588,1989.0,57.0,1.0,0.0,6.1
00589,1988.0,60.0,1.0,55.0,3.711111111
00590,1989.0,67.0,1.0,0.0,5.138181818
00591,1988.0,59.0,1.0,0.0,6.83
00592,1989.0,69.0,1.0,109.0,6.87
00593,1989.0,72.0,1.0,0.0,0.0
00594,1989.0,81.0,1.0,0.0,6.63
00595,1985.0,60.0,1.0,0.0,6.37
00596,1989.0,64.0,1.0,0.0,5.5
00597,1989.0,62.0,1.0,0.0,6.93
00598,1989.0,75.0,1.0,0.0,6.93
00599,1987.0,59.0,1.0,0.0,5.920547945
00600,1988.0,60.0,1.0,87.0,3.959649123
00601,1989.0,76.0,1.0,0.0,7.53
00602,1989.0,59.0,1.0,0.0,6.53
00603,1989.0,71.0,1.0,70.0,0.2
00604,1990.0,68.0,1.0,125.0,3.3
00605,1989.0,87.0,1.0,0.0,7.3
00606,1989.0,100.0,1.0,80.0,7.83
00607,1989.0,89.0,1.0,80.0,7.57
00608,1989.0,81.0,1.0,49.0,7.23
